Date,Sales Order ID,Vendor ID,Description,Debit EUR,Credit EUR,Transaction: Subtype,Vendor Quality History,Vendor Consistency,Processing Method,Processing Efficiency (%),
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,9542,0,Sales credit invoice,0.41108883,80,Standard Process,60.16887481,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,0,10519.91,Sales credit invoice,0.440062019,80,Standard Process,83.50392941,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,13395.6,0,Sales credit invoice,0.424794001,80,Standard Process,74.64575464,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,15397.61,Sales credit invoice,0.445938077,80,Standard Process,69.24566861,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,0,12783.37,Sales credit invoice,0.311158916,80,Standard Process,51.31875494,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,6461,0,Sales credit invoice,0.415498365,80,Standard Process,51.31777807,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,1061.4,0,Sales credit invoice,0.316365555,80,Standard Process,47.35238629,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,12610.11,Sales credit invoice,0.439617511,80,Standard Process,80.0801339,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,10236,0,Sales credit invoice,0.485826601,80,Standard Process,69.34515798,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,0,13421.22,Sales credit invoice,0.485800088,80,Standard Process,73.6769394,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,8244,0,Sales credit invoice,0.281251017,80,Standard Process,45.83367202,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,0,23501.78,Sales credit invoice,0.444220795,80,Standard Process,84.28134901,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,0,13753.39,Sales credit invoice,0.4348718,80,Standard Process,78.71392695,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,7076,0,Sales credit invoice,0.354623833,80,Standard Process,53.59973398,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,14149.83,Sales credit invoice,0.454655982,80,Standard Process,52.36391117,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,5795,0,Sales credit invoice,0.385593458,80,Standard Process,52.42788265,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,29149.26,Sales credit invoice,0.382773957,80,Standard Process,57.32181084,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,14436,0,Sales credit invoice,0.416632298,80,Standard Process,66.25263548,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,0,21860.77,Sales credit invoice,0.425185035,80,Standard Process,62.49377326,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,0,16664.19,Sales credit invoice,0.375714005,80,Standard Process,56.79478018,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,6502.6,0,Sales credit invoice,0.503459343,80,Standard Process,69.78004224,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,20813.32,Sales credit invoice,0.449826472,80,Standard Process,50.64950136,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,10971,0,Sales credit invoice,0.408851172,80,Standard Process,56.83185827,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,19115.83,Sales credit invoice,0.382096089,80,Standard Process,59.83765465,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,25458.51,Sales credit invoice,0.367305976,80,Standard Process,63.47083436,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,14778,0,Sales credit invoice,0.382458551,80,Standard Process,76.79962644,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,23887.36,Sales credit invoice,0.42853083,80,Standard Process,53.08678818,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,11826,0,Sales credit invoice,0.39832647,80,Standard Process,65.82649476,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,16056,0,Sales credit invoice,0.447416359,80,Standard Process,68.99279004,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,17660.93,Sales credit invoice,0.335619736,80,Standard Process,46.88124172,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,15750,0,Sales credit invoice,0.461536787,80,Standard Process,69.6055665,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,25953.13,Sales credit invoice,0.314889972,80,Standard Process,51.90622701,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,11034,0,Sales credit invoice,0.419383773,80,Standard Process,47.63458952,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,17835.5,Sales credit invoice,0.482595283,80,Standard Process,83.42986426,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,12285,0,Sales credit invoice,0.476514816,80,Standard Process,84.10809734,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,0,7176.18,Sales credit invoice,0.426362691,80,Standard Process,77.7400926,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,3257.4,0,Sales credit invoice,0.364956651,80,Standard Process,57.33685765,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,7088.21,Sales credit invoice,0.33948575,80,Standard Process,48.95572062,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,13428,0,Sales credit invoice,0.410150832,80,Standard Process,72.71143757,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,5317,0,Sales credit invoice,0.379584943,80,Standard Process,62.826176,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,0,18879.21,Sales credit invoice,0.338247318,80,Standard Process,49.94254851,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,9564.8,0,Sales credit invoice,0.440824057,80,Standard Process,65.05466486,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,7327.14,Sales credit invoice,0.350765623,80,Standard Process,46.39273511,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,3627,0,Sales credit invoice,0.385437033,80,Standard Process,81.82747628,
01-01-2022,202027,101420,zAU-1142 RV zM 0-10,0,24306.4,Sales credit invoice,0.395991655,80,Standard Process,55.48058925,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,3367.2,0,Sales credit invoice,0.497744213,80,Standard Process,71.83215252,
01-01-2022,202039,101420,zAU-1143 zM GA 0-10m,0,2309.64,Sales credit invoice,0.420798721,80,Standard Process,57.62429858,
01-01-2022,202026,101420,zAU-1141 zM NS 0-10,8448,0,Sales credit invoice,0.416197383,80,Standard Process,66.06275486,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,9846,0,Sales credit invoice,0.412750739,80,Standard Process,67.14176631,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,17733.67,Sales credit invoice,0.434357889,80,Standard Process,52.48660545,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,15915.21,Sales credit invoice,0.485637554,80,Standard Process,84.26817742,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,10926,0,Sales credit invoice,0.431199526,80,Standard Process,76.39287935,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,15309,0,Sales credit invoice,0.436270863,80,Standard Process,83.04970713,
01-01-2022,202028,101420,zAU-1156 zM0-10 DMZ,0,24745.67,Sales credit invoice,0.398670054,80,Standard Process,81.24050769,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,5089.67,Sales credit invoice,0.366125654,80,Standard Process,69.21494914,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,4464,0,Sales credit invoice,0.397671921,80,Standard Process,82.33590652,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,8262,0,Sales credit invoice,0.356663012,80,Standard Process,48.58394633,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,4518,0,Sales credit invoice,0.357877069,80,Standard Process,52.93730593,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,11700,0,Sales credit invoice,0.347493674,80,Standard Process,46.8317052,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,42174.5,Sales credit invoice,0.372161184,80,Standard Process,58.1758784,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,9420,Sales credit invoice,0.360131386,80,Standard Process,60.74143023,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,4356,0,Sales credit invoice,0.422740742,80,Standard Process,55.98963579,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,4966.54,Sales credit invoice,0.440795685,80,Standard Process,78.56386912,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,5151.24,Sales credit invoice,0.420014651,80,Standard Process,59.44850973,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,14562,0,Sales credit invoice,0.407789506,80,Standard Process,56.37784764,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,36990,0,Sales credit invoice,0.409167499,80,Standard Process,66.97919137,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,5500.13,Sales credit invoice,0.380030364,80,Standard Process,50.70743111,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,16603.01,Sales credit invoice,0.458646447,80,Standard Process,77.48897772,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,15864.19,Sales credit invoice,0.361827042,80,Standard Process,48.01930107,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,0,13339.87,Sales credit invoice,0.53768258,80,Standard Process,84.96892093,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,13914,0,Sales credit invoice,0.501470797,80,Standard Process,76.27591316,
01-01-2022,202020,101420,zAU-1140 DM 0-10 OC,4824,0,Sales credit invoice,0.419613321,80,Standard Process,53.0479851,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,1827,0,Sales credit invoice,0.356549129,80,Standard Process,45.22364574,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,3206,0,Sales credit invoice,0.556225511,80,Standard Process,78.02618785,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,497,0,Sales credit invoice,0.413363069,80,Standard Process,73.62772243,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,2172.53,Sales credit invoice,0.447707963,80,Standard Process,74.52479031,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,2343.3,Sales credit invoice,0.457103447,80,Standard Process,76.23644904,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,27408.06,Sales credit invoice,0.408509113,80,Standard Process,47.9988084,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,2401,0,Sales credit invoice,0.324053542,80,Standard Process,59.51786201,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,2212,0,Sales credit invoice,0.370796686,80,Standard Process,49.69269691,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,2506,0,Sales credit invoice,0.492285557,80,Standard Process,79.95568875,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,5227.36,Sales credit invoice,0.471961814,80,Standard Process,70.24357414,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,1449,0,Sales credit invoice,0.377908143,80,Standard Process,58.40137001,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,2016,0,Sales credit invoice,0.355093143,80,Standard Process,47.57411319,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,4459,0,Sales credit invoice,0.313725369,80,Standard Process,57.59478403,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,1603,0,Sales credit invoice,0.439898966,80,Standard Process,58.16992454,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,1897,0,Sales credit invoice,0.515905891,80,Standard Process,74.54905022,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,1729,0,Sales credit invoice,0.526690549,80,Standard Process,70.82107759,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,2926,0,Sales credit invoice,0.466469968,80,Standard Process,80.93211607,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,3396.36,Sales credit invoice,0.459900546,80,Standard Process,64.12470447,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,2570.99,Sales credit invoice,0.348397475,80,Standard Process,49.84356696,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,12997.24,Sales credit invoice,0.458696296,80,Standard Process,73.88641388,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,777.93,Sales credit invoice,0.446777206,80,Standard Process,75.81179447,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,2149,0,Sales credit invoice,0.392597043,80,Standard Process,67.7317265,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,3965.58,Sales credit invoice,0.454528291,80,Standard Process,76.22417079,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,2476.11,Sales credit invoice,0.466171858,80,Standard Process,64.99872165,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,0,6261.44,Sales credit invoice,0.413017,80,Standard Process,66.17067959,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,9590,0,Sales credit invoice,0.366774681,80,Standard Process,62.31541124,
01-01-2022,201381,101420,zAU-1103 0-5 DAA/B/G,1659,0,Sales credit invoice,0.334844789,80,Standard Process,46.02947463,
